HOURS,E_demand
1,485
2,444
3,384
4,325
5,394
6,436
7,423
8,459
9,406
10,300
11,435
12,470
13,343
14,485
15,370
16,381
17,397
18,363
19,436
20,484
21,302
22,350
23,457
24,439
